sentence_id|words|labels
0|The|O
0|system|O
0|as|O
0|described|O
0|above|O
0|has|O
0|its|O
0|greatest|O
0|application|O
0|in|O
0|an|O
0|arrayed|O
0|configuration|B-COMPONENT-WHOLE
0|of|O
0|antenna|O
0|elements|B-COMPONENT-WHOLE
1|The|O
1|child|B-OTHER
1|was|O
1|carefully|O
1|wrapped|O
1|and|O
1|bound|O
1|into|O
1|the|O
1|cradle|B-OTHER
1|by|O
1|means|O
1|of|O
1|a|O
1|cord|O
2|The|O
2|author|B-INSTRUMENT-AGENCY
2|of|O
2|a|O
2|keygen|O
2|uses|O
2|a|O
2|disassembler|B-INSTRUMENT-AGENCY
2|to|O
2|look|O
2|at|O
2|the|O
2|raw|O
2|assembly|O
2|code|O
3|A|O
3|misty|O
3|ridge|B-OTHER
3|uprises|O
3|from|O
3|the|O
3|surge|B-OTHER
4|The|O
4|student|B-MEMBER-COLLECTION
4|association|B-MEMBER-COLLECTION
4|is|O
4|the|O
4|voice|O
4|of|O
4|the|O
4|undergraduate|O
4|student|B-MEMBER-COLLECTION
4|population|O
4|of|O
4|the|O
4|State|O
4|University|O
4|of|O
4|New|O
4|York|O
4|at|O
4|Buffalo|O
5|This|O
5|is|O
5|the|O
5|sprawling|O
5|complex|B-OTHER
5|that|O
5|is|O
5|Peru|O
5|'s|O
5|largest|O
5|producer|B-OTHER
5|of|O
5|silver|O
6|The|O
6|current|O
6|view|O
6|is|O
6|that|O
6|the|O
6|chronic|O
6|inflammation|B-CAUSE-EFFECT
6|in|O
6|the|O
6|distal|O
6|part|O
6|of|O
6|the|O
6|stomach|O
6|caused|O
6|by|O
6|Helicobacter|O
6|pylori|O
6|infection|B-CAUSE-EFFECT
6|results|O
6|in|O
6|an|O
6|increased|O
6|acid|O
6|production|O
6|from|O
6|the|O
6|non-infected|O
6|upper|O
6|corpus|O
6|region|O
6|of|O
6|the|O
6|stomach|O
7|People|B-ENTITY-DESTINATION
7|have|O
7|been|O
7|moving|O
7|back|O
7|into|O
7|downtown|B-ENTITY-DESTINATION
8|The|O
8|lawsonite|B-CONTENT-CONTAINER
8|was|O
8|contained|O
8|in|O
8|a|O
8|platinum|B-CONTENT-CONTAINER
8|crucible|I-CONTENT-CONTAINER
8|and|O
8|the|O
8|counter-weight|O
8|was|O
8|a|O
8|plastic|O
8|crucible|I-CONTENT-CONTAINER
8|with|O
8|metal|O
8|pieces|O
9|The|O
9|solute|O
9|was|O
9|placed|O
9|inside|O
9|a|O
9|beaker|O
9|and|O
9|5|O
9|mL|O
9|of|O
9|the|O
9|solvent|B-ENTITY-DESTINATION
9|was|O
9|pipetted|O
9|into|O
9|a|O
9|25|O
9|mL|O
9|glass|O
9|flask|B-ENTITY-DESTINATION
9|for|O
9|each|O
9|trial|O
10|The|O
10|fifty|O
10|essays|B-MEMBER-COLLECTION
10|collected|O
10|in|O
10|this|O
10|volume|B-MEMBER-COLLECTION
10|testify|O
10|to|O
10|most|O
10|of|O
10|the|O
10|prominent|O
10|themes|O
10|from|O
10|Professor|O
