文本内容|实体关系1
The system as described above has its greatest application in an arrayed configuration of antenna elements |{[98,106],NN},{[73,86],VBP},Component-Whole
The child was carefully wrapped and bound into the cradle by means of a cord|{[4,9],NN},{[51,57],VBP},Other
The author of a keygen uses a disassembler to look at the raw assembly code|{[30,42],NN},{[4,10],JJ},Instrument-Agency
A misty ridge uprises from the surge |{[8,13],NN},{[31,36],JJ},Other
The student association is the voice of the undergraduate student population of the State University of New York at Buffalo|{[4,11],NN},{[12,23],JJ},Member-Collection
This is the sprawling complex that is Peru's largest producer of silver|{[22,29],VBP},{[53,61],NN},Other
The current view is that the chronic inflammation in the distal part of the stomach caused by Helicobacter pylori infection results in an increased acid production from the non-infected upper corpus region of the stomach|{[114,123],VBP},{[37,49],VBP},Cause-Effect
 People have been moving back into downtown |{[1,7],NN},{[35,43],MD},Entity-Destination
The lawsonite was contained in a platinum crucible and the counter-weight was a plastic crucible with metal pieces|{[4,13],DT},{[33,50],VBZ},Content-Container
The solute was placed inside a beaker and 5 mL of the solvent was pipetted into a 25 mL glass flask for each trial|{[54,61],MD},{[94,99],VBZ},Entity-Destination
The fifty essays collected in this volume testify to most of the prominent themes from Professor Quispel's scholarly career|{[10,16],NN},{[35,41],MD},Member-Collection
Their composer has sunk into oblivion |{[6,14],VBP},{[29,37],NN},Other
The Pulitzer Committee issues an official citation explaining the reasons for the award|{[42,50],NN},{[66,73],VBZ},Message-Topic
The burst has been caused by water hammer pressure |{[42,50],NN},{[4,9],JJ},Cause-Effect
Even commercial networks have moved into high-definition broadcast |{[41,66],NN},{[16,24],NN},Instrument-Agency
It was a friendly call to remind them about the bill and make sure they have a copy of the invoice|{[18,22],DT},{[48,52],NN},Message-Topic
Texas-born virtuoso finds harmony sophistication in Appalachian instrument |{[64,74],VBP},{[11,19],NN},Instrument-Agency
The factory 's products have included flower pots Finnish rooster-whistles pans trays  tea pots ash trays and air moisturisers|{[80,85],VBZ},{[4,11],DT},Product-Producer
The girl showed a photo of apple tree blossom on a fruit tree in the Central Valley|{[38,45],NN},{[33,37],NN},Component-Whole
They tried an assault of their own an hour later with two columns of sixteen tanks backed by a battalion of Panzer grenadiers |{[115,125],NN},{[95,104],DT},Member-Collection
Their knowledge of the power and rank symbols of the Continental empires was gained from the numerous Germanic recruits in the Roman army and from the Roman practice of enfeoffing various Germanic warrior groups with land in the imperial provinces|{[6,15],CC},{[111,119],NN},Entity-Origin
She soon had a stable of her own rescued hounds |{[41,47],MD},{[15,21],VBZ},Member-Collection
